model_id,source_group,crate_name,posterior_db_revision,stan_sha256,kernel_lib_rs_sha256,model_license,data_license,data_json_canonical_sha256
GLMM_data-GLMM1_model,firstpass_original,glmm_data_glmm1_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,c477cfd297db4b9a54fee522211f2c50af98519ccb967d4313727fb484358934,d446c71b2db5dd9d7fc8ea51d80650c5b54b78f8dd97b6ab09b866dda1fff494,BSD3,not specified in PosteriorDB data metadata,78c00bdb11b8bc9641d8119e5c6054907c36c95735ee700c25376e6818d3905f
GLM_Binomial_data-GLM_Binomial_model,firstpass_original,glm_binomial_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,1cd08265b53a2faea2087055fd5c24eff965c6581c6ce78479a0925ddd3a1144,8036194a97b5d85587a0878cdb9b73fc00a4506494dabbc6fe15a8f0a1e5034e,BSD3,not specified in PosteriorDB data metadata,b738b4c85a7179ac6c0680aee4f224c56b096d8af0aea79181489b1910ce4178
GLM_Poisson_Data-GLM_Poisson_model,firstpass_original,nutpier_glm_poisson,5545a1dd07ae297c36edecbcd82aa49097b4c385,84186ad779e2add1b934a00e211d9e642ae29cba0e02caf3fedb5c1b29e54f85,ea70c9e7b21c7af5e14f656bdae282a5bb45a9a26d53123f11657c17af1a6331,BSD3,not specified in PosteriorDB data metadata,7e3d47a4da23629293b359e21cde6e62099d580f643f4391435f62e80bf050f9
M0_data-M0_model,firstpass_original,m0_data_m0_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,56f27cc21218cfe634e3d02596617dac693c9f08c724a85bbebbf1fe86bb901c,4b7273038eef322024133d30c5d6346069ecd8f849ae01d7fd9cb3fc88fb3a6b,BSD3,not specified in PosteriorDB data metadata,3ecfdaeaa2bf34bd0702e42eb5a1b18cff2d9f452bcbf48d286f6e8522a7785e
Mb_data-Mb_model,firstpass_original,mb_data_mb_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,fd8975a0bd29c338066cee715a3aeda704382daef4f4db30ffc4deb9f018b43f,9bb1035c9f7eb225de4672e619d18ee39c309613f5d613692792549d75e5ed96,BSD3,not specified in PosteriorDB data metadata,69d73eec46b7655c577ebf642ce73b0c2a8d1cb336609afb555c7b131a1248ec
Mh_data-Mh_model,phase02,mh_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,69dda71b0ec6857c4c5a0e81c014979f57da97c5260b6e3456305a13050b7ad5,39cc6f1eba91ccf5e9a256de5b2ffb75ebab97c1a0ee0bdcc689be3d8c44bc56,BSD3,not specified in PosteriorDB data metadata,8765e4c33ca908c5b5f34a5a28ba624671b017933853472796ddfde40217b025
Mt_data-Mt_model,firstpass_original,mt_data_mt_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,3391120504996a0369e58658d1872f190d2932e5c7d192f63c3db2057e8d324c,74cc011e4c780d4e50a4e36fbfb75d6fea3392f5070b830f7e1b0cb11878b802,BSD3,not specified in PosteriorDB data metadata,8ce4b30d245cfe97db34d012809e1dbad17b5fbd3841f48393712a2bd1da0bc3
Mtbh_data-Mtbh_model,firstpass_original,mtbh_data_mtbh_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,97c151a4cccca051c09de3dc1e66fe42980be9c850503db089e2bb8e7a16b451,dfe4c51fd1371a1ff01a35957e60d5efefd10c5f60ed2b3aa856c00e0cd1dd28,BSD3,not specified in PosteriorDB data metadata,b19254e47bb72917ecbb72137c4fb07753c50aad6b0a5f774fbcc6bed216a103
Mth_data-Mth_model,followup_new,mth_data_mth_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,2e84d69443c0961fe478423206d7ce37ed0688640ce4f48e4725f7be74fc1e92,d1ae77b44d15cd38333c50666dc5097393e29f5309e1c1b0f389cf7056c4f292,BSD3,not specified in PosteriorDB data metadata,72750e8acf159bda0d06d99196ceadec3eab324d1757fd274d1f16e7eb297967
Rate_1_data-Rate_1_model,followup_new,rate_1_data_rate_1_model_density_kernel_followup01,5545a1dd07ae297c36edecbcd82aa49097b4c385,ae95dcc6c2e2953e202fb257181ee24e1cb1f7780819e95d94663dde4fddc795,30bec1d803e2b67fb6870f774b4c7a5d183276437cd7b7497c91fb27141487aa,BSD3,not specified in PosteriorDB data metadata,633a6c4b57e4e3cf5741facde0a02a657a8b643896ce8d5e49c9f505921d6a7c
Rate_2_data-Rate_2_model,firstpass_original,rate_2_data_rate_2_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,2556299694d2e3420d6d100b5439376bed7f78454816d89cd189d09df0b5877d,ecea677a68b6d6d8d7693b83a2aa76b158d1a1bee5b9b43341f90909d1c6b392,BSD3,not specified in PosteriorDB data metadata,7590beeeb2ee62dde9095825f70955c50293d89df52ead1febb7b85c42047c45
Rate_3_data-Rate_3_model,firstpass_original,rate_3_data_rate_3_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,416ea0e377796973a67eddfa956d93e4e5f2204d96889b7b55432275b5e4e0d2,b4408d183a41b72e6b91121260e1e51f47a465d1e7328075f19af3aaee1f77ea,BSD3,not specified in PosteriorDB data metadata,7590beeeb2ee62dde9095825f70955c50293d89df52ead1febb7b85c42047c45
Rate_4_data-Rate_4_model,firstpass_original,rate_4_data_rate_4_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,7aaf395c9ce53028fceaf8719538c3e8c98eba9884e1b3b843b33d636487d88c,b9e5e000e91aee0e7d4045b763ee11f1c045c258a8516510285d6e8c3d5f8ee5,BSD3,not specified in PosteriorDB data metadata,09a7dc845ee73e6e27fe12198e4d817909f45df9672af4eddfd7f3a2ca2c179b
Rate_5_data-Rate_5_model,firstpass_original,rate_5_data_rate_5_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,b86503076ff82e0c5a4e183d6274aa1f3f08b867a5de854adfada0d368f5c544,f249275a55f3c73b2bb6568c7d9f32b268221699e4c86b03e72b857ab85cb92f,BSD3,not specified in PosteriorDB data metadata,770469ce34f959c87dfd3f85f144889a5fd292935352c077c4283693787b73c0
Survey_data-Survey_model,followup_replacement,survey_data_survey_model_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,6253492299891332a7746d44976a161a2a557816ef177d68ddedaa703a144f87,b39b9bfe3c84eeda2a3298ac0523e37e819b6936b6c85cded8ce2ed85f919a58,BSD3,not specified in PosteriorDB data metadata,b0c578144bd916cc3d411fd5c1ab77900b04c8bb31adc8a4fc8678d007f62f98
arK-arK,firstpass_original,nutpier_density_kernel_template,5545a1dd07ae297c36edecbcd82aa49097b4c385,fd5c71a891f648de3b9b65e2a65885c974fd9478b0a137b6b229f76ff4e01de6,12b80a4695385bc903cd328ca92559211b4c8862c0e358dbe32e01462a32f870,BSD3,not specified in PosteriorDB data metadata,169cc6a87c9cd87600a569a13f1a5d82cb12dd9c750a203fac5bc3c406829c62
arma-arma11,firstpass_original,arma_arma11_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,aa713e50a5154ab9efda30f2b5fe320d6a77510434ff73cef6708cbf72d1fae8,0aca1242697fb410f9b345b3873e8f3add12719699b66f4dc4e818e6f255759f,BSD3,not specified in PosteriorDB data metadata,1fda9f7ee24381f2ca2d072aca6ee2e7e807aeccfdbb23d0361ba5b106cf9450
bball_drive_event_0-hmm_drive_0,phase02,bball_drive_event_0_hmm_drive_0_density_kernel,5545a1dd07ae297c36edecbcd82aa49097b4c385,febb25a020c125d594c0c39058e68847fbfe49c20f80ec3c6ea0851a3b8f75e1,d57d5f03128e986963e26a72227e6e003721216753cfa3313454beda8da72b5e,BSD3,not specified in PosteriorDB data metadata,8ad803c4244f2b2dfb8f77f229db7ff35001ec354ad236b13ad8ab724dab6568
