model_id,measurement_source,sample_bridgestan_median_s,sample_kernel_median_s,sample_kernel_over_bridgestan,sample_bridgestan_over_kernel,sample_valid_pairs,native_bridgestan_median_ns_per_eval,native_kernel_median_ns_per_eval,native_kernel_over_bridgestan,native_bridgestan_over_kernel,native_blocks_per_method
GLMM_data-GLMM1_model,firstpass_original,0.656,0.182,0.27743902439,3.6043956044,3,29951,5127.32,0.171190277453,5.84145323483,3
GLM_Binomial_data-GLM_Binomial_model,firstpass_original,0.02,0.013,0.65,1.53846153846,3,1268.66,290.138,0.228696419845,4.37260889645,3
GLM_Poisson_Data-GLM_Poisson_model,firstpass_original,0.029,0.014,0.48275862069,2.07142857143,3,1079.41,165.31,0.153148479262,6.52961103381,3
M0_data-M0_model,firstpass_original,0.073,0.011,0.150684931507,6.63636363636,3,11776.8,487.114,0.0413621696896,24.1766814339,3
Mb_data-Mb_model,firstpass_original,0.35,0.072,0.205714285714,4.86111111112,3,46201.7,4348.92,0.0941290039111,10.6237180725,3
Mh_data-Mh_model,phase02,0.863,0.306,0.354577056779,2.82026143791,3,30258.1,9818.97,0.324507156761,3.08159613483,3
Mt_data-Mt_model,firstpass_original,0.115,0.021,0.182608695652,5.4761904762,3,15974.5,1888.48,0.118218410592,8.45891934253,3
Mtbh_data-Mtbh_model,firstpass_original,0.813,0.372,0.457564575646,2.18548387097,3,41639.7,16463.2,0.395372685202,2.52925919627,3
Mth_data-Mth_model,followup_new,2.429,0.769,0.31659118979,3.15864759428,3,96793.8,27420.7,0.283289838812,3.52995364816,3
Rate_1_data-Rate_1_model,followup_new,0.009,0.008,0.8,1.25,3,128.509,7.52992,0.0585944953272,17.0664495771,3
Rate_2_data-Rate_2_model,firstpass_original,0.01,0.008,0.8,1.25,3,194.505,10.7929,0.0554890619778,18.0215697357,3
Rate_3_data-Rate_3_model,firstpass_original,0.009,0.008,0.888888888889,1.125,3,148.021,12.1552,0.0821180778403,12.1775865473,3
Rate_4_data-Rate_4_model,firstpass_original,0.01,0.008,0.8,1.25,3,186.876,14.1354,0.0756405316895,13.2204253152,3
Rate_5_data-Rate_5_model,firstpass_original,0.009,0.008,0.888888888889,1.125,3,143.507,6.08798,0.0424228783265,23.5721865052,3
Survey_data-Survey_model,followup_replacement,0.585,1.635,2.75252525253,0.363302752293,3,49919.6,174638,3.49838540373,0.285846150322,3
arK-arK,firstpass_original,0.404,0.04,0.0990099009901,10.1,3,11957.5,784.349,0.0655947313402,15.2451268504,3
arma-arma11,firstpass_original,0.062,0.013,0.209677419355,4.76923076923,3,4972.87,379.108,0.07623525248,13.1172911149,3
bball_drive_event_0-hmm_drive_0,phase02,1.366,0.196,0.143484626647,6.96938775511,3,121165,12905.5,0.106511781455,9.38863275348,3
bball_drive_event_1-hmm_drive_1,followup_new,2.273,0.245,0.109645131938,9.12033195022,3,135415,11308.4,0.0835092124211,11.9747267518,3
bones_data-bones_model,firstpass_original,0.469,0.042,0.089552238806,11.1666666667,3,46377.8,3205.88,0.0691253142667,14.4664803424,3
butterfly-multi_occupancy,followup_new,2.34,0.359,0.168376068376,5.93908629442,3,50863.6,8215.4,0.161518256671,6.19125057817,3
diamonds-diamonds,followup_new,12.695,18.992,1.53391098858,0.651928310994,3,24892.7,36227.9,1.45536241549,0.687114075062,3
dogs-dogs,firstpass_original,0.839,0.124,0.147794994041,6.76612903224,3,66604.9,5773.02,0.086675604948,11.5372716533,3
dogs-dogs_hierarchical,firstpass_original,0.205,0.055,0.268292682927,3.72727272727,3,28043.2,3148.48,0.112272493867,8.9069011078,3
dogs-dogs_nonhierarchical,phase02,0.96,0.239,0.248958333333,4.01673640168,3,33327,8217.38,0.246568247967,4.0556722459,3
dugongs_data-dugongs_model,firstpass_original,0.03,0.018,0.6,1.66666666667,3,807.861,272.63,0.337471421445,2.96321387962,3
earnings-earn_height,firstpass_original,0.352,0.036,0.102272727273,9.77777777775,3,10120.3,760.409,0.0751370018675,13.3090218553,3
earnings-log10earn_height,firstpass_original,0.384,0.039,0.1015625,9.84615384615,3,10614.8,787.856,0.0742224064514,13.4730204504,3
earnings-logearn_height,firstpass_original,0.405,0.103,0.254320987654,3.93203883496,3,10381.9,2447.95,0.235790173282,4.24105884516,3
earnings-logearn_height_male,firstpass_original,0.886,0.067,0.0756207674944,13.223880597,3,18648,1088.69,0.0583810596311,17.1288429213,3
earnings-logearn_interaction,firstpass_original,3.469,0.469,0.135197463246,7.39658848613,3,27581.2,3710.76,0.134539468914,7.43276309972,3
earnings-logearn_interaction_z,firstpass_original,0.325,0.057,0.175384615385,5.70175438595,3,26089.6,4259.5,0.163264289219,6.12503815001,3
earnings-logearn_logheight_male,firstpass_original,2.824,0.133,0.0470963172805,21.2330827067,3,18356.6,741.362,0.0403866729133,24.7606432485,3
eight_schools-eight_schools_noncentered,firstpass_original,0.016,0.01,0.625,1.6,3,462.481,18.7203,0.0404779872038,24.7047857139,3
fims_Aus_Jpn_irt-2pl_latent_reg_irt,followup_new,4.735,2.755,0.613458528951,1.63010204082,3,137884,83136.7,0.602946679818,1.65852144721,3
garch-garch11,firstpass_original,0.118,0.026,0.220338983051,4.53846153846,3,9383.2,1388.89,0.148018799557,6.75589859527,3
gp_pois_regr-gp_regr,firstpass_original,0.025,0.018,0.72,1.38888888889,3,3024.74,1944.64,0.642911456852,1.5554241402,3
hmm_example-hmm_example,firstpass_original,0.262,0.078,0.297709923664,3.35897435898,3,23018.3,5074.81,0.220468496805,4.53579542879,3
irt_2pl-irt_2pl,firstpass_original,0.948,0.529,0.558016877637,1.79206049149,3,37026.2,20053.1,0.541592169869,1.84640778732,3
kidiq-kidscore_interaction,firstpass_original,0.59,0.111,0.18813559322,5.31531531532,3,9145.24,1555.28,0.170064426959,5.88012447918,3
kidiq-kidscore_momhs,firstpass_original,0.042,0.011,0.261904761905,3.81818181818,3,3406.64,233.294,0.0684821407604,14.6023472528,3
kidiq-kidscore_momhsiq,firstpass_original,0.163,0.019,0.116564417178,8.57894736841,3,6191.18,364.933,0.0589440139036,16.9652511557,3
kidiq-kidscore_momiq,firstpass_original,0.076,0.015,0.197368421053,5.06666666666,3,3440.09,289.169,0.0840585566075,11.8964688469,3
kidiq_with_mom_work-kidscore_interaction_c,firstpass_original,0.074,0.018,0.243243243243,4.11111111112,3,9168.95,1562.44,0.170405553526,5.86835334476,3
kidiq_with_mom_work-kidscore_interaction_c2,firstpass_original,0.087,0.018,0.206896551724,4.83333333334,3,9006.41,1272.46,0.141283818969,7.07795136978,3
kidiq_with_mom_work-kidscore_interaction_z,followup_new,0.073,0.018,0.246575342466,4.05555555555,3,9118.09,1602.89,0.175792298606,5.68853134028,3
kidiq_with_mom_work-kidscore_mom_work,firstpass_original,0.096,0.019,0.197916666667,5.05263157894,3,8873.81,1212.63,0.136652689206,7.31782159437,3
kilpisjarvi_mod-kilpisjarvi,firstpass_original,0.23,0.042,0.182608695652,5.4761904762,3,715.365,29.8894,0.0417820273567,23.9337357056,3
