model_id,bridgestan_median_sampling_seconds,custom_kernel_median_sampling_seconds,sampling_speedup,density_gradient_speedup
GLMM_data-GLMM1_model,0.656,0.182,3.6043956044,5.84145323483
GLM_Binomial_data-GLM_Binomial_model,0.02,0.013,1.53846153846,4.37260889645
GLM_Poisson_Data-GLM_Poisson_model,0.029,0.014,2.07142857143,6.52961103381
M0_data-M0_model,0.073,0.011,6.63636363636,24.1766814339
Mb_data-Mb_model,0.35,0.072,4.86111111112,10.6237180725
Mh_data-Mh_model,0.863,0.306,2.82026143791,3.08159613483
Mt_data-Mt_model,0.115,0.021,5.4761904762,8.45891934253
Mtbh_data-Mtbh_model,0.813,0.372,2.18548387097,2.52925919627
Mth_data-Mth_model,2.429,0.769,3.15864759428,3.52995364816
Rate_1_data-Rate_1_model,0.009,0.008,1.25,17.0664495771
Rate_2_data-Rate_2_model,0.01,0.008,1.25,18.0215697357
Rate_3_data-Rate_3_model,0.009,0.008,1.125,12.1775865473
Rate_4_data-Rate_4_model,0.01,0.008,1.25,13.2204253152
Rate_5_data-Rate_5_model,0.009,0.008,1.125,23.5721865052
Survey_data-Survey_model,0.585,1.635,0.363302752293,0.285846150322
arK-arK,0.404,0.04,10.1,15.2451268504
arma-arma11,0.062,0.013,4.76923076923,13.1172911149
bball_drive_event_0-hmm_drive_0,1.366,0.196,6.96938775511,9.38863275348
bball_drive_event_1-hmm_drive_1,2.273,0.245,9.12033195022,11.9747267518
bones_data-bones_model,0.469,0.042,11.1666666667,14.4664803424
butterfly-multi_occupancy,2.34,0.359,5.93908629442,6.19125057817
diamonds-diamonds,12.695,18.992,0.651928310994,0.687114075062
dogs-dogs,0.839,0.124,6.76612903224,11.5372716533
dogs-dogs_hierarchical,0.205,0.055,3.72727272727,8.9069011078
dogs-dogs_nonhierarchical,0.96,0.239,4.01673640168,4.0556722459
dugongs_data-dugongs_model,0.03,0.018,1.66666666667,2.96321387962
earnings-earn_height,0.352,0.036,9.77777777775,13.3090218553
earnings-log10earn_height,0.384,0.039,9.84615384615,13.4730204504
earnings-logearn_height,0.405,0.103,3.93203883496,4.24105884516
earnings-logearn_height_male,0.886,0.067,13.223880597,17.1288429213
earnings-logearn_interaction,3.469,0.469,7.39658848613,7.43276309972
earnings-logearn_interaction_z,0.325,0.057,5.70175438595,6.12503815001
earnings-logearn_logheight_male,2.824,0.133,21.2330827067,24.7606432485
eight_schools-eight_schools_noncentered,0.016,0.01,1.6,24.7047857139
fims_Aus_Jpn_irt-2pl_latent_reg_irt,4.735,2.755,1.63010204082,1.65852144721
garch-garch11,0.118,0.026,4.53846153846,6.75589859527
gp_pois_regr-gp_regr,0.025,0.018,1.38888888889,1.5554241402
hmm_example-hmm_example,0.262,0.078,3.35897435898,4.53579542879
irt_2pl-irt_2pl,0.948,0.529,1.79206049149,1.84640778732
kidiq-kidscore_interaction,0.59,0.111,5.31531531532,5.88012447918
kidiq-kidscore_momhs,0.042,0.011,3.81818181818,14.6023472528
kidiq-kidscore_momhsiq,0.163,0.019,8.57894736841,16.9652511557
kidiq-kidscore_momiq,0.076,0.015,5.06666666666,11.8964688469
kidiq_with_mom_work-kidscore_interaction_c,0.074,0.018,4.11111111112,5.86835334476
kidiq_with_mom_work-kidscore_interaction_c2,0.087,0.018,4.83333333334,7.07795136978
kidiq_with_mom_work-kidscore_interaction_z,0.073,0.018,4.05555555555,5.68853134028
kidiq_with_mom_work-kidscore_mom_work,0.096,0.019,5.05263157894,7.31782159437
kilpisjarvi_mod-kilpisjarvi,0.23,0.042,5.4761904762,23.9337357056
loss_curves-losscurve_sislob,0.043,0.027,1.59259259259,2.61582906292
low_dim_gauss_mix-low_dim_gauss_mix,0.834,0.176,4.73863636364,4.5596965786
lsat_data-lsat_model,2.765,1.338,2.06651718984,2.19109974064
mesquite-logmesquite,0.064,0.029,2.20689655172,3.60114318354
mesquite-logmesquite_logva,0.039,0.014,2.78571428572,6.69235006081
mesquite-logmesquite_logvas,0.086,0.035,2.45714285714,3.51365068584
mesquite-logmesquite_logvash,0.075,0.03,2.5,3.56151433301
mesquite-logmesquite_logvolume,0.014,0.01,1.4,16.2047251434
mesquite-mesquite,0.122,0.023,5.26086956522,9.301215554
nes1972-nes,3.171,0.222,14.2837837838,21.4849323251
nes1976-nes,3.156,0.192,16.4375,15.3171321346
nes1980-nes,1.754,0.088,19.9318181818,21.6912615822
nes1984-nes,3.303,0.175,18.8742857143,18.6864730761
nes1988-nes,2.932,0.196,14.9591836735,12.5607179094
nes1992-nes,3.66,0.153,23.9215686275,24.3541411617
nes1996-nes,2.958,0.165,17.9272727273,18.5083249458
nes2000-nes,1.221,0.058,21.051724138,27.9977499984
nes_logit_data-nes_logit_model,0.081,0.113,0.716814159289,0.735379960237
radon_all-radon_county_intercept,18.301,1.206,15.1749585406,11.826987473
radon_all-radon_hierarchical_intercept_centered,26.13,1.37,19.0729927007,15.8008817944
radon_all-radon_hierarchical_intercept_noncentered,28.418,1.354,20.988183161,15.6895305313
radon_all-radon_partially_pooled_centered,13.234,1.199,11.0375312761,8.36412065771
radon_all-radon_partially_pooled_noncentered,13.003,1.175,11.0663829787,8.41515431917
radon_all-radon_pooled,3.52,0.071,49.5774647886,40.9990425418
radon_all-radon_variable_intercept_centered,18.218,1.129,16.1364038973,11.9191429339
radon_all-radon_variable_intercept_noncentered,12.932,0.975,13.2635897436,11.8311650673
radon_all-radon_variable_intercept_slope_centered,17.487,1.161,15.0620155039,11.8443418356
radon_all-radon_variable_intercept_slope_noncentered,19.783,1.429,13.843946816,11.8084279424
radon_all-radon_variable_slope_centered,17.951,1.171,15.3296327925,11.8081788776
radon_all-radon_variable_slope_noncentered,18.037,1.354,13.3212703102,11.5204286512
radon_mn-radon_county_intercept,0.609,0.048,12.6875,13.077203684
radon_mn-radon_hierarchical_intercept_noncentered,1.046,0.058,18.0344827586,16.6421846713
radon_mn-radon_partially_pooled_centered,0.451,0.051,8.84313725493,8.86633913063
radon_mn-radon_partially_pooled_noncentered,0.515,0.059,8.72881355933,8.62100032942
radon_mn-radon_pooled,0.233,0.017,13.7058823529,36.0243802306
radon_mn-radon_variable_intercept_centered,0.669,0.054,12.3888888889,11.7174704277
radon_mn-radon_variable_intercept_noncentered,0.493,0.047,10.4893617021,12.9776860212
radon_mn-radon_variable_intercept_slope_noncentered,1.394,0.113,12.3362831858,12.6098044589
radon_mn-radon_variable_slope_noncentered,0.602,0.055,10.9454545455,11.7289520426
radon_mod-radon_county,2.285,0.938,2.43603411514,2.03615822548
rats_data-rats_model,0.141,0.022,6.83333333332,17.3618472271
rstan_downloads-prophet,101.901,90.227,1.12938477396,0.984392198922
sat-hier_2pl,16.176,11.235,1.43978638184,1.35767527722
sblrc-blr,0.028,0.015,1.86666666667,2.86233057875
sblri-blr,0.027,0.013,2.07692307693,3.39089171354
science_irt-grsm_latent_reg_irt,52.251,7.308,7.14983579637,6.38939076389
seeds_data-seeds_centered_model,0.054,0.021,2.57142857143,7.73309395088
seeds_data-seeds_model,0.055,0.021,2.61904761905,7.6173855874
seeds_data-seeds_stanified_model,0.056,0.025,2.24,7.23752816372
sesame_data-sesame_one_pred_a,0.034,0.014,2.42857142857,15.3276256994
state_wide_presidential_votes-hierarchical_gp,6.381,41.556,0.15355183367,0.190848658619
three_men1-ldaK2,19.287,1.106,17.438517179,20.1739104329
three_men2-ldaK2,14.601,0.765,19.0862745098,19.3018335385
timssAusTwn_irt-gpcm_latent_reg_irt,76.51,4.918,15.5571370476,17.146334087
traffic_accident_nyc-bym2_offset_only,13,3.453,3.76484216624,5.00181324113
wells_data-wells_daae_c_model,0.287,0.505,0.568316831684,0.599626141614
wells_data-wells_dae_c_model,0.241,0.436,0.552752293577,0.496410371033
wells_data-wells_dae_inter_model,0.179,0.341,0.54078549849,0.461866711898
