model_id,measurement_source,sample_valid_pairs,sample_invalid_pairs,bridgestan_median_sample_s,kernel_median_sample_s,sample_kernel_over_bridgestan,native_status,native_blocks,native_valid_bs_blocks,native_valid_kernel_blocks,bridgestan_median_ns_per_eval,kernel_median_ns_per_eval,native_kernel_over_bridgestan,sample_timing_provenance,native_provenance
GLMM_data-GLMM1_model,firstpass_original,3,0,0.656,0.182,0.27743902439,ok,3,3,3,29951,5127.32,0.171190277453,original saved artifacts,firstpass_native
GLM_Binomial_data-GLM_Binomial_model,firstpass_original,3,0,0.02,0.013,0.65,ok,3,3,3,1268.66,290.138,0.228696419845,original saved artifacts,firstpass_native
GLM_Poisson_Data-GLM_Poisson_model,firstpass_original,3,0,0.029,0.014,0.48275862069,ok,3,3,3,1079.41,165.31,0.153148479262,original saved artifacts,firstpass_native
M0_data-M0_model,firstpass_original,3,0,0.073,0.011,0.150684931507,ok,3,3,3,11776.8,487.114,0.0413621696896,original saved artifacts,firstpass_native
Mb_data-Mb_model,firstpass_original,3,0,0.35,0.072,0.205714285714,ok,3,3,3,46201.7,4348.92,0.0941290039111,original saved artifacts,firstpass_native
Mt_data-Mt_model,firstpass_original,3,0,0.115,0.021,0.182608695652,ok,3,3,3,15974.5,1888.48,0.118218410592,original saved artifacts,firstpass_native
Mtbh_data-Mtbh_model,firstpass_original,3,0,0.813,0.372,0.457564575646,ok,3,3,3,41639.7,16463.2,0.395372685202,original saved artifacts,firstpass_native
Mth_data-Mth_model,followup_new,3,0,2.429,0.769,0.31659118979,ok,3,3,3,96793.8,27420.7,0.283289838812,primary saved follow-up paired artifacts,followup_primary_native
Rate_1_data-Rate_1_model,followup_new,3,0,0.009,0.008,0.8,ok,3,3,3,128.509,7.52992,0.0585944953272,primary saved follow-up paired artifacts,followup_primary_native
Rate_2_data-Rate_2_model,firstpass_original,3,0,0.01,0.008,0.8,ok,3,3,3,194.505,10.7929,0.0554890619778,original saved artifacts,firstpass_native
Rate_3_data-Rate_3_model,firstpass_original,3,0,0.009,0.008,0.888888888889,ok,3,3,3,148.021,12.1552,0.0821180778403,original saved artifacts,firstpass_native
